Model;MSE;MAE;RMSE;R2;MAPE;MedAE;Max Error;MSLE;R2 Adjusted;Explained Variance Score
Linear Regression;2.6E-05;0.00266;0.005086;0.99459;0.00973;0.001631;0.091257;1.6E-05;0.994244;0.99459
Linear Regression with PCA;0.000592;0.017638;0.024329;0.876186;0.062014;0.013498;0.170917;0.000351;0.868263;0.876187
Ridge Regression;2.9E-05;0.003036;0.005351;0.994011;0.010805;0.002148;0.09206;1.7E-05;0.993628;0.994011
Ridge Regression with PCA;2.7E-05;0.002803;0.005201;0.994342;0.010141;0.001923;0.092525;1.6E-05;0.99398;0.994342
Lasso Regression;0.002982;0.037452;0.054605;0.376282;0.140266;0.023212;0.237502;0.001758;0.336371;0.376283
ElasticNet Regression;0.000778;0.018575;0.027892;0.83726;0.06638;0.011893;0.186258;0.000448;0.826846;0.837264
Decision Trees;0.000005;0.000171;0.002197;0.99899;0.000686;0.0;0.170642;0.000003;0.998925;0.99899
Decision Trees with PCA;7.5E-05;0.001316;0.008683;0.98423;0.005516;0.0;0.255046;4.5E-05;0.983221;0.98423
Random Forest;0.000004;0.000201;0.002062;0.99911;0.000851;0.0;0.152991;0.000003;0.999053;0.99911
Bagged Decision Trees;0.000005;0.000219;0.00213;0.999051;0.000938;0.0;0.150826;0.000003;0.998991;0.999051
Bagged SVM;0.001666;0.031755;0.040816;0.65152;0.115697;0.021914;0.103569;0.000986;0.629221;0.654758
AdaBoost;0.000178;0.010845;0.013347;0.962735;0.035307;0.008316;0.131194;0.000102;0.960351;0.973949
Gradient Boost;1.2E-05;0.001656;0.003405;0.997574;0.006196;0.00088;0.099021;0.000007;0.997419;0.997575
XGBoost;0.000004;0.000387;0.002066;0.999107;0.001576;7.8E-05;0.146001;0.000003;0.99905;0.999107
MLP;0.000008;0.001266;0.002804;0.998355;0.00474;0.000894;0.123528;0.000005;0.99825;0.998398
MLP with early stopping;0.000007;0.001342;0.002601;0.998584;0.004898;0.000915;0.11706;0.000004;0.998494;0.99863
CNN;1.4E-05;0.002796;0.003738;0.997078;0.009604;0.002198;0.113691;0.000008;0.996891;0.998471
CNN with early stopping;0.000008;0.001356;0.00279;0.998371;0.005014;0.000813;0.084608;0.000005;0.998267;0.998376
RNN;0.001337;0.023328;0.036571;0.720235;0.081905;0.015557;0.275887;0.000775;0.702333;0.722463
RNN with early stopping;0.001005;0.020826;0.031701;0.789776;0.070289;0.01532;0.258336;0.000581;0.776325;0.794183
